match_id,fecha,jornada,torneo,local,visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,shots_local,shots_visitante,shots_ot_local,shots_ot_visitante,xg_local,xg_visitante,corners_total,amarillas_total,rojas_total
5101832,2026-04-11,14,Liga MX Clausura 2026,Puebla,Leon,0,1,7.0,8.0,3.0,1.0,1.0,0.0,16.0,14.0,1.0,3.0,0.56,1.36,15.0,4.0,1.0
5101833,2026-04-11,14,Liga MX Clausura 2026,FC Juarez,Tijuana,1,2,5.0,9.0,1.0,2.0,2.0,0.0,11.0,21.0,1.0,6.0,2.87,1.57,14.0,3.0,2.0
5101834,2026-04-11,14,Liga MX Clausura 2026,Queretaro FC,Necaxa,3,1,4.0,5.0,1.0,2.0,0.0,2.0,18.0,8.0,6.0,1.0,1.75,0.46,9.0,3.0,2.0
5101835,2026-04-11,14,Liga MX Clausura 2026,Tigres,Chivas,4,1,0.0,7.0,3.0,3.0,0.0,0.0,11.0,19.0,6.0,6.0,1.67,0.89,7.0,6.0,0.0
5101836,2026-04-12,14,Liga MX Clausura 2026,Atlas,Monterrey,0,0,6.0,4.0,3.0,1.0,0.0,0.0,10.0,17.0,4.0,5.0,0.62,0.91,10.0,4.0,0.0
5101837,2026-04-12,14,Liga MX Clausura 2026,Pachuca,Santos Laguna,4,2,4.0,1.0,0.0,2.0,0.0,1.0,16.0,4.0,8.0,1.0,1.38,0.86,5.0,2.0,1.0
5101838,2026-04-12,14,Liga MX Clausura 2026,CF America,Cruz Azul,1,1,8.0,4.0,0.0,1.0,0.0,0.0,11.0,12.0,4.0,5.0,0.4,0.72,12.0,1.0,0.0
5101839,2026-04-12,14,Liga MX Clausura 2026,Pumas,Mazatlan FC,3,1,8.0,6.0,1.0,2.0,0.0,0.0,18.0,13.0,8.0,5.0,2.13,1.66,14.0,3.0,0.0
5101840,2026-04-13,14,Liga MX Clausura 2026,Toluca,Atletico de San Luis,1,1,3.0,1.0,3.0,1.0,0.0,0.0,24.0,8.0,10.0,1.0,1.07,1.27,4.0,4.0,0.0
5101717,2026-01-10,1,Liga MX Clausura 2026,Mazatlan FC,FC Juarez,1,2,2.0,5.0,1.0,0.0,0.0,0.0,4.0,8.0,2.0,3.0,0.44,0.97,7.0,1.0,0.0
5101715,2026-01-10,1,Liga MX Clausura 2026,Atlas,Puebla,1,0,2.0,4.0,3.0,2.0,0.0,0.0,8.0,15.0,3.0,6.0,2.52,1.82,6.0,5.0,0.0
5101716,2026-01-10,1,Liga MX Clausura 2026,Tijuana,CF America,0,0,1.0,3.0,0.0,2.0,0.0,0.0,9.0,4.0,2.0,2.0,0.51,0.13,4.0,2.0,0.0
5101718,2026-01-10,1,Liga MX Clausura 2026,Chivas,Pachuca,2,0,5.0,2.0,0.0,2.0,0.0,0.0,18.0,10.0,6.0,2.0,2.8,0.52,7.0,2.0,0.0
5101719,2026-01-11,1,Liga MX Clausura 2026,Leon,Cruz Azul,2,1,3.0,6.0,3.0,1.0,0.0,0.0,9.0,21.0,6.0,7.0,0.81,1.5,9.0,4.0,0.0
